"Subject","Subject code","Catalog Number","Long Course Title","Description","Units - Units - Units","Units - Repeat for Credit","Signature Learning","Course Attributes","Instructional Components"
"ECON - Economics","ECON","661","Behavioural Economics","Survey of research incorporating psychological evidence into economics. Topics include fairness, altruism, prospect theory, self-control, biases in probabilistic judgment, mental accounting, and the relationship between markets, incentives, and attention and various cognitive processes.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Related, Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","667","Industrial Organization","A focus on market power: its acquisition, maintenance, and exercise. Both theory and application, with an emphasis on how industrial organization does, and should, inform competition policy and antitrust law, will be examined.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Related, Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","669","Empirical Industrial Organization","Firm behaviour in oligopolistic markets, as well as consumer and firm behaviour in environments with asymmetric information. Strong emphasis on combining economic models with econometric techniques to answer economic questions. Models of demand and supply, discrete static and dynamic games, production function estimation, single agent dynamic models and matching models.

Antirequisite(s): Credit for both Economics 669 and 611.71 will not be allowed.","3","No","Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Focused, Research & Creative Scholarship - Focused","Lecture"
"ECON - Economics","ECON","675","Natural Resource Economics","Examines economic models of the structure and nature of natural resource industries and their interaction with the rest of the economy. Includes non-renewable and renewable resources and applies methods from capital theory, growth theory, public economics, and industrial organization to the study of natural resources.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Related, Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","677","Environmental Economics","Environmental economics describes the ways in which people interact with their natural environment and the policies that best achieve society's goals in this context. Topics vary from year to year and may include benefit-cost analysis, non-market valuation, choice of policy instruments, environmental taxation, trade growth and the environment, global warming and international environmental treaties.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Related, Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","679","Health Economics","An overview of topics in health economics. An introduction to economic principles and techniques used in analysing and planning health policy, in particular the delivery of health services, and for understanding the health behaviour of individuals.

Antirequisite: Credit for ECON 679 and MDCH 661 will not be allowed.","3","No","Entrepreneurial Thinking","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), Entrepreneurial Thinking - Related","Lecture"
"ECON - Economics","ECON","691","Research Methods I","Survey of research methods in economics. For course-based MA students.","1.5","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Focused, Entrepreneurial Thinking - Related, Research & Creative Scholarship - Focused","Lecture"
"ECON - Economics","ECON","693","Research Methods II","Survey of research methods in economics. For course-based MA students.","1.5","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Focused, Entrepreneurial Thinking - Related, Research & Creative Scholarship - Focused","Lecture"
"ECON - Economics","ECON","695","Research Methods III","Master's research project. Identify an interesting and feasible research question, carry out an extensive literature review of the problem area, develop an economic/econometric model to address the problem, identify and collect appropriate data for empirical research.

Prerequisite(s): Admission into the Master of Arts Economics (course-based) program.

Antirequisite(s): Credit for both Economics 695 and 611.55 will not be allowed.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Focused, Entrepreneurial Thinking - Related, Research & Creative Scholarship - Focused","Lecture"
"ECON - Economics","ECON","697","Research Methods IV","Master's research project. Continuing from Research Methods III, the economic/econometric model is fully developed with specific attention to identification issues and testable hypotheses. Appropriate econometric analyses, validation and testing are carried out, leading to a research paper reporting the problem, the model and the results.

Prerequisite(s): Admission into the Master of Arts Economics (course-based) program.

Antirequisite(s): Credit for both Economics 697 and 611.57 will not be allowed.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Focused, Entrepreneurial Thinking - Related, Research & Creative Scholarship - Focused","Lecture"
"ECON - Economics","ECON","705","Advanced Econometrics I","Devoted to rigorous treatment of asymptotic theory as it applies to econometric practice. Provides a detailed treatment of the theory and practice of classical estimation procedures, including linear regression and instrumental variables, Maximum Likelihood, the General Method of Moments, as well as an extension to simulation based methods. The theory of hypothesis testing is also covered.

Prerequisite(s): Admission to the PhD program in Economics.","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0)","Lecture"
"ECON - Economics","ECON","707","Advanced Microeconomic Theory I","Introduction to advanced microeconomic theory. Topics include consumer theory, theory of the firm, and general equilibrium.","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0)","Lecture"
"ECON - Economics","ECON","709","Advanced Macroeconomic Theory I","Introduction to the basic structure of the dynamic general equilibrium framework that forms the backbone of most modern macroeconomics research. Selected topics include growth, business cycles, and monetary and labor economics.","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0)","Lecture"
"ECON - Economics","ECON","711","Independent Study","MAY BE REPEATED FOR CREDIT","3","Yes","Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Focused, Research & Creative Scholarship - Focused","Lecture"
"ECON - Economics","ECON","715","Advanced Econometrics II","Focuses on the problem of causality and identification of treatment effects in empirical work in Economics. Topics include but are not limited to randomized trials, causality, instrumental variables, difference in differences, regression discontinuity designs. Students are introduced to empirical applications of these different approaches.

Prerequisite(s): Economics 705.","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0)","Lecture"
"ECON - Economics","ECON","717","Advanced Topics in Econometrics","Studies cutting edge econometric tools used to evaluate the impacts of policies, extrapolate their effects to new environments, and predict the effects of policies that have never been tried. Methods from both the structural and treatment effect paradigms of policy evaluation will be considered.

Prerequisite(s): Economics 705.","3","No","Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","723","Trade, Growth & the Environment I","Covers relevant theoretical work on the environmental consequences of trade liberalization and economic growth, and the relationship between resource use and globalization, focusing on newly published research.  Participants are expected to present and discuss research. The specific choice of topics will be made based on research interests of the class.

Antirequisite(s): Credit for both Economics 723 and 611.10 will not be allowed.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3S-0), RCS Focused, Entrepreneurial Thinking - Related, Research & Creative Scholarship - Focused","Seminar"
"ECON - Economics","ECON","725","Trade, Growth & the Environment II","Covers relevant empirical work on the environmental consequences of trade liberalization and economic growth, and the relationship between resource use and globalization, focusing on newly published research.  Participants are expected to present and discuss research. The specific choice of topics will be made based on research interests of the class.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3S-0), RCS Focused, Entrepreneurial Thinking - Related, Research & Creative Scholarship - Focused","Seminar"
"ECON - Economics","ECON","757","Advanced Microeconomic Theory II","Building on Economics 707, a comprehensive treatment of game theory, the economics of uncertainty and information, and the theory of incentives will be introduced. Other topics may be included as time and interest allow.

Prerequisite(s): Economics 707.","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0)","Lecture"
"ECON - Economics","ECON","759","Advanced Macroeconomics Theory II","Building on Economics 709, a survey of the ideas, controversies, and techniques that constitute modern macroeconomics. The principal issues it covers lie at the heart monetary and fiscal policy and of such important social problems as business cycles and unemployment. The empirical study of key issues raised in theoretical and political debates is also emphasized.

Prerequisite(s): Economics 709.","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0)","Lecture"
"ECON - Economics","ECON","791","PhD Research Workshop","Survey of research methods in economics.

MAY BE REPEATED FOR CREDIT

NOT INCLUDED IN GPA","1.5","Yes","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (1.5-0), RCS Focused, Entrepreneurial Thinking - Related, Research & Creative Scholarship - Focused","Lecture"
"ECON - Economics","ECON","793","PhD Research Workshop II","Survey of research methods in economics.

Prerequisite(s): Economics 791 and admission to the PhD program in Economics.

MAY BE REPEATED FOR CREDIT

NOT INCLUDED IN GPA","1.5","Yes","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Focused, Entrepreneurial Thinking - Related, Research & Creative Scholarship - Focused","Lecture"
"ENGG - Engineering","ENGG","209","(ECON 209) Engineering Economics","The basic tools and methodology of engineering economic studies. Topics include investment decisions, theory of replacement, economies of scale, externalities, social decision making and government regulation. Examples are drawn from engineering projects.

Prerequisite(s): Registration in the Faculty of Engineering with second-year standing or higher. If not registered in the Schulich School of Engineering, consent of the Department of Economics. If required for APEGA, consent of the Schulich Undergraduate Studies Office.

Antirequisite(s): Credit for Engineering 209 and Economics 209 will not be allowed.","3","No","Entrepreneurial Thinking","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1T), Entrepreneurial Thinking - Related","Lecture, Tutorial"
